Distance_(µm),Gray_Value
0.0000000,0.0000
0.0020000,0.0000
0.0040000,0.2841
0.0060000,2.4545
0.0080000,9.4318
0.0100000,34.8182
0.0120000,64.2500
0.0140000,74.1136
0.0160000,42.1136
0.0180000,15.1818
0.0200000,7.7614
0.0220000,3.8750
0.0240000,2.0000
0.0260000,7.1818
0.0280000,14.6250
0.0300000,29.7273
0.0320000,63.0455
0.0340000,66.3864
0.0360000,41.7159
0.0380000,14.5568
0.0400000,4.2727
0.0420000,3.3864
0.0440000,5.3750
0.0460000,8.2045
0.0480000,13.5455
0.0500000,40.2955
0.0520000,72.0227
0.0540000,86.6705
0.0560000,49.4545
0.0580000,18.6818
0.0600000,7.4205
0.0620000,4.0795
0.0640000,3.3182
0.0660000,1.2500
0.0680000,7.5909
0.0700000,31.6250
0.0720000,81.9545
0.0740000,87.4091
0.0760000,54.9773
0.0780000,14.0000
0.0800000,0.3864
0.0820000,0.0000
0.0840000,0.5341
0.0860000,1.2500
0.0880000,2.5000
